Price,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Ticker,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT,AAPL,GOOGL,MSFT
Date,,,,,,,,,,,,,,,
2025-03-21,217.73704528808594,163.79171752929688,390.54302978515625,218.30564558008663,164.04141524263727,391.0221306945889,210.76410758323678,160.69545978774022,382.09851071654674,211.0434226778215,161.01508017617863,382.5177544739553,94127800,36625800,39675900
2025-03-24,220.19102478027344,167.4772491455078,392.35968017578125,220.93919345594836,168.11648994593173,394.67543616141086,218.04628066528426,164.94032699026835,389.09568331150246,220.460369765545,166.86800133324036,394.67543616141086,44299500,30879100,21004500
2025-03-25,223.2036590576172,170.353759765625,394.4358825683594,223.55281053469957,170.42368243836484,395.63366532055824,219.54262209652958,168.1164780833655,391.9205113732519,220.23093972638688,168.775668441695,393.19816458592396,34493600,24174400,15775000
2025-03-26,220.98907470703125,164.86041259765625,389.2554016113281,224.47055842890478,169.40491393976436,394.5856126855185,219.93166541277708,164.64067739498105,387.85797313035886,222.9642357514217,168.79565092149923,394.27618318122023,34466100,28901600,16108400
2025-03-27,223.3034210205078,162.04383850097656,389.8642578125,224.4406368200556,165.21998619662182,391.5212195564284,220.02144584411215,161.8041232023028,386.6900923994873,220.84942102067788,164.43094810403895,389.4151007040484,37094800,24508300,13766800
2025-03-28,217.36793518066406,154.14340209960938,378.1058349609375,223.26350805320467,161.62435145983125,388.4169222438939,217.1484711493609,153.44425151462127,376.2392666189567,221.12873402087155,160.29595772818402,387.36882809704144,39818600,48669300,21632000
2025-03-31,221.58761596679688,154.45301818847656,374.7021179199219,225.06908447075043,155.3519238675497,376.3790320336197,215.7020132379398,150.47783482762614,366.5670283067677,216.48010744476517,152.9248693898488,371.8573344110368,65299300,54603500,35184700
2025-04-01,222.64503479003906,156.8800811767578,381.4896545410156,223.13382860511078,157.9088345005831,382.1484487727996,218.3655012478301,153.43424066067087,372.54608191207893,219.27328293515097,153.43424066067087,373.96346276032,36412700,30672900,19689500
2025-04-02,223.34332275390625,156.85011291503906,381.43975830078125,224.64015156252358,158.21846678254826,384.3743428432238,220.48033536050963,154.51294591611935,375.92985398533636,220.7796058888877,154.9623987635517,377.2773862564683,35905900,25041700,16092600
2025-04-03,202.69384765625,150.5377655029297,372.42626953125,206.98335084549154,152.59527231622977,376.788287190408,200.75858236471802,150.20816267744866,368.67318036225987,205.0381002304481,150.92729334389097,374.10321411915555,103419000,46883400,30198000
2025-04-04,187.92002868652344,145.4239501953125,359.18060302734375,199.39194860307396,150.8873372265073,373.9035742050073,186.88255957870848,145.20421499461688,358.8212773354498,193.4165691841804,147.83102450056057,363.4627502923482,125910900,62259500,49209900
2025-04-07,181.0169219970703,146.5725555419922,357.2042236328125,193.6759230716255,152.66518575265,370.32015981776436,174.19361217758157,140.3600753076292,344.1581969485817,176.76731422169505,141.37884623013926,350.2370336524557,160466300,76794100,50425000
2025-04-08,171.9989776611328,144.52503967285156,353.9102783203125,189.8752182218586,152.05593156691467,372.9652928837084,168.79682446290911,142.85706070456766,349.6081786868937,186.24410709579757,151.0371605852081,367.585185716996,120859500,52200200,35868900
2025-04-09,198.3644561767578,158.51809692382812,389.7744140625,200.1201531468693,159.3570775505851,392.50941370351666,171.47028013366514,143.73598981661124,352.45294739016697,171.53013119082922,144.24536764564118,352.8921435234206,184395900,70406200,50199700
2025-04-10,189.9550323486328,152.63522338867188,380.65118408203125,194.30438674913324,157.5292924054746,383.19649903483815,182.553152263757,149.74870323215254,367.12599611378243,188.60833789927736,156.35071129003578,381.3598744812396,121880000,48022000,38024400
2025-04-11,197.66615295410156,156.9499969482422,387.7381896972656,199.05275825525484,157.47935489094493,389.3352333779351,185.60567786476867,152.63522830805417,378.19571053548395,185.64558871717136,152.71511816628092,379.9425037151649,87435900,33636200,23839200
2025-04-14,202.02549743652344,158.87767028808594,387.0993347167969,212.42005238891582,161.52445998548595,393.92679674338564,200.66881763194172,157.3694863273863,383.5059256339463,210.9237150406947,159.80653847762434,392.4994245329486,101352900,30333000,19251200
2025-04-15,201.6464080810547,156.12100219726562,385.0231628417969,203.01305790446213,159.4569601254283,391.17187833074144,199.3121256140358,155.02234135810752,383.4560325474498,201.36709301089155,158.93759983361085,387.79806728846995,51343900,27551500,17199900
